time,temp,tmin,tmax,rhum,prcp,snwd,wspd,wpgt,pres,tsun,cldc
2021-12-04,28.6,23.5,35.5,59,,,2.0,,1012.9,,
2021-12-05,28.6,24.2,34.9,65,,,2.6,,1012.6,,
2021-12-06,29.1,24.7,35.4,64,,,1.8,,1012.7,,
2021-12-07,28.8,24.4,35.2,64,,,2.5,,1012.8,,
2021-12-08,28.4,24.4,34.2,68,,,1.9,,1013.5,,
2021-12-09,28.4,24.2,35.0,59,,,1.8,,1013.7,,
2021-12-10,28.1,22.8,35.2,55,,,1.8,,1012.9,,
2021-12-11,28.2,23.5,34.8,54,,,2.2,,1013.0,,
2021-12-12,28.2,23.8,34.8,56,,,2.1,,1013.6,,
2021-12-13,28.3,23.8,35.0,54,,,2.3,,1012.5,,
2021-12-14,27.8,23.2,34.5,58,,,4.2,,1010.5,,
2021-12-15,27.3,23.8,32.1,65,,,4.9,,1010.1,,
2021-12-16,27.3,23.9,32.5,66,,,2.8,,1011.4,,
2021-12-17,26.8,24.4,31.1,69,,,3.7,,1011.7,,
2021-12-18,25.9,23.6,29.7,71,,,3.2,,1012.0,,
2021-12-19,26.0,23.1,30.7,66,,,2.6,,1012.7,,
2021-12-20,25.4,23.2,29.2,66,,,2.5,,1014.0,,
2021-12-21,24.4,21.9,29.2,55,,,4.7,,1015.8,,
2021-12-22,24.7,21.1,30.6,52,,,3.1,,1014.4,,
2021-12-23,25.0,22.1,29.8,59,,,2.4,,1012.7,,
2021-12-24,24.3,22.0,28.9,61,,,2.6,,1012.4,,
2021-12-25,24.4,21.5,29.5,56,,,2.6,,1013.0,,
2021-12-26,25.1,21.6,30.2,58,,,2.7,,1012.7,,
2021-12-27,25.6,22.2,30.9,61,,,2.1,,1013.0,,
2021-12-28,24.4,22.5,28.8,66,,,2.4,,1012.8,,
2021-12-29,23.9,21.8,27.4,61,,,3.7,,1012.4,,
2021-12-30,24.0,21.3,29.0,56,,,1.9,,1012.5,,
2021-12-31,24.4,20.4,30.1,54,,,2.1,,1012.2,,
2022-01-01,23.8,21.6,26.8,65,,,3.3,,1011.0,,
2022-01-02,22.8,20.5,25.9,63,,,3.1,,1011.2,,
2022-01-03,21.5,17.5,27.7,57,,,2.5,,1013.6,,
2022-01-04,23.2,17.6,31.1,49,,,1.7,,1014.7,,
2022-01-05,25.0,19.5,32.6,45,,,2.0,,1013.9,,
2022-01-06,25.4,21.3,31.0,52,,,2.4,,1013.4,,
2022-01-07,25.9,22.4,31.2,63,,,2.5,,1013.0,,
2022-01-08,26.4,22.9,32.0,64,,,2.1,,1013.1,,
2022-01-09,27.1,22.9,33.4,66,,,2.1,,1011.9,,
2022-01-10,26.4,23.9,30.5,70,,,4.2,,1010.1,,
2022-01-11,26.1,23.0,30.6,73,,,2.8,,1012.0,,
2022-01-12,26.8,23.2,32.3,73,,,2.5,,1012.7,,
2022-01-13,26.8,23.7,31.5,76,,,3.8,,1011.7,,
2022-01-14,25.4,23.4,28.5,78,,,3.0,,1011.0,,
2022-01-15,22.7,20.8,25.5,58,,,4.1,,1011.1,,
2022-01-16,21.3,18.7,25.7,51,,,4.1,,1012.1,,
2022-01-17,20.6,17.9,24.9,52,,,3.5,,1013.3,,
2022-01-18,20.7,18.0,25.5,53,,,4.5,,1016.2,,
2022-01-19,20.8,17.5,26.6,56,,,4.0,,1017.1,,
2022-01-20,21.1,17.2,27.4,53,,,4.4,,1017.5,,
2022-01-21,23.7,18.6,31.2,46,,,3.0,,1015.5,,
2022-01-22,24.2,20.0,29.8,58,,,3.4,,1014.0,,
2022-01-23,24.5,21.0,30.0,66,,,3.1,,1013.8,,
2022-01-24,24.3,20.7,30.1,61,,,2.1,,1014.3,,
2022-01-25,24.6,20.3,31.4,59,,,2.4,,1013.5,,
2022-01-26,24.0,20.1,30.4,62,,,2.3,,1013.0,,
2022-01-27,21.9,19.2,27.1,54,,,4.6,,1015.3,,
2022-01-28,22.3,18.0,28.8,49,,,3.8,,1015.3,,
2022-01-29,22.5,19.0,28.0,58,,,3.1,,1014.6,,
2022-01-30,22.7,19.1,28.2,60,,,2.8,,1013.5,,
2022-01-31,21.7,20.0,25.2,60,,,3.6,,1011.9,,
2022-02-01,22.7,18.3,29.2,49,,,4.1,,1013.5,,
2022-02-02,24.9,19.9,32.1,52,,,3.5,,1012.5,,
2022-02-03,25.8,21.4,32.3,68,,,5.3,,1012.5,,
2022-02-04,23.7,20.6,27.1,66,,,4.2,,1013.4,,
2022-02-05,21.4,18.2,27.2,47,,,5.4,,1014.8,,
2022-02-06,23.4,17.2,32.2,42,,,2.4,,1014.0,,
2022-02-07,25.2,18.7,33.7,45,,,1.7,,1013.3,,
2022-02-08,26.0,20.3,33.2,54,,,2.7,,1013.2,,
2022-02-09,26.6,22.2,32.8,65,,,4.0,,1011.8,,
2022-02-10,25.8,22.6,30.7,66,,,3.0,,1011.5,,
2022-02-11,24.2,21.1,29.6,54,,,3.1,,1012.6,,
2022-02-12,25.1,20.1,32.7,45,,,3.0,,1013.0,,
2022-02-13,26.4,21.8,33.2,40,,,1.9,,1011.4,,
2022-02-14,27.2,21.9,34.6,42,,,1.4,,1010.0,,
2022-02-15,27.1,22.0,34.1,48,,,2.1,,1010.5,,
2022-02-16,26.1,22.3,32.5,51,,,2.4,,1010.4,,
2022-02-17,25.7,21.0,32.4,55,,,2.8,,1007.8,,
2022-02-18,25.5,21.9,30.7,63,,,5.6,,1007.3,,
2022-02-19,23.0,19.4,25.7,64,,,4.8,,1010.8,,
2022-02-20,21.0,17.2,27.5,51,,,5.2,,1015.5,,
2022-02-21,24.3,17.5,33.5,41,,,3.0,,1013.4,,
2022-02-22,26.4,20.4,33.9,49,,,3.1,,1010.1,,
2022-02-23,26.8,22.5,32.7,64,,,5.9,,1010.0,,
2022-02-24,27.8,23.4,34.1,64,,,6.3,,1009.9,,
2022-02-25,26.5,23.2,31.4,63,,,3.3,,1011.8,,
2022-02-26,24.4,21.0,30.7,50,,,3.6,,1013.2,,
2022-02-27,25.4,19.2,34.2,49,,,2.8,,1012.9,,
2022-02-28,27.4,21.2,35.4,51,,,2.4,,1011.5,,
2022-03-01,28.4,23.1,35.4,55,,,2.6,,1011.4,,
2022-03-02,29.2,24.2,36.1,57,,,4.0,,1010.5,,
